Tweet,Emojis,SentimentML,Quantidade,Alegria,Medo,Neutro,Nojo,Raiva,Tristeza,Alias,Frequencias,Phrase,Words,Frequency
RT @cacadillac: n tenho absolutamente nenhum motivo para sentir isto porém tenho um carinho por arthur aguiar,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['tenho', 'rt', 'n', 'absolutamente', 'nenhum', 'motivo', 'para', 'sentir', 'isto', 'porém', 'um', 'carinho', 'por', 'arthur', 'aguiar']","['tenho', 'rt', 'n', 'absolutamente', 'nenhum', 'motivo', 'para', 'sentir', 'isto', 'porém', 'um', 'carinho', 'por', 'arthur', 'aguiar']",dançar,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",virada,2
@Aguiarthur o bolinho,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['o', 'bolinho']","['o', 'bolinho']",casado,2
"RT @crisayonara: arthur aguiar defendendo as mulheres dizendo que se homem tira a blusa nas festas, a mulher pode também! ❤️ #bbb22 https:/…",{'❤️'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'rt', 'arthur', 'aguiar', 'defendendo', 'as', 'mulheres', 'dizendo', 'que', 'se', 'homem', 'tira', 'blusa', 'nas', 'festas', 'mulher', 'pode', 'também', 'https']","['a', 'rt', 'arthur', 'aguiar', 'defendendo', 'as', 'mulheres', 'dizendo', 'que', 'se', 'homem', 'tira', 'blusa', 'nas', 'festas', 'mulher', 'pode', 'também', 'https']",responde,2
@Aguiarthur a fofura sério 🥺🤏,"{'🥺', '🤏'}",'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'fofura', 'sério']","['a', 'fofura', 'sério']",mas,2
RT @lukedoamor: O Arthur Aguiar na primeira oportunidade dentro da casa: https://t.co/5e8RlLDRO5,set(),'neutro',97,[0.33],[0.01],[0.48],[0.0],[0.17],[0.01],[0.0],"['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']","['rt', 'o', 'arthur', 'aguiar', 'na', 'primeira', 'oportunidade', 'dentro', 'da', 'casa']",brother,2
@Aguiarthur mkkkkkkkkkkkkk ela é um meme puro adm,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['mkkkkkkkkkkkkk', 'ela', 'é', 'um', 'meme', 'puro', 'adm']","['mkkkkkkkkkkkkk', 'ela', 'é', 'um', 'meme', 'puro', 'adm']",muito,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",prova,2
arthur aguiar fazendo escola,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['arthur', 'aguiar', 'fazendo', 'escola']","['arthur', 'aguiar', 'fazendo', 'escola']",vai,2
@Aguiarthur Lindo!,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],['lindo'],['lindo'],lindo,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",esse,2
@Aguiarthur A globo está perdendo essa atriz mega carismática 👏🏾👏🏾👏🏾,{'👏'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['a', 'globo', 'está', 'perdendo', 'essa', 'atriz', 'mega', 'carismática']","['a', 'globo', 'está', 'perdendo', 'essa', 'atriz', 'mega', 'carismática']",bem,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",meu,2
"RT @siteptbr: Arthur Aguiar: ""Por que homem pode tirar a blusa e elas não, claro que pode!"" 

MAYRA CARDIIIIIII 🆘🆘 #BBB22 https://t.co/BiSz…",{'🆘'},'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['que', 'pode', 'rt', 'arthur', 'aguiar', 'por', 'homem', 'tirar', 'a', 'blusa', 'e', 'elas', 'não', 'claro', 'mayra', 'cardiiiiiii']","['que', 'pode', 'rt', 'arthur', 'aguiar', 'por', 'homem', 'tirar', 'a', 'blusa', 'e', 'elas', 'não', 'claro', 'mayra', 'cardiiiiiii']",anjo,2
RT @legadaodamassa: MAIS FEMINISTA QUE ARTHUR AGUIAR??????,set(),'alegria',97,[0.5],[0.01],[0.32],[0.0],[0.16],[0.01],[0.0],"['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']","['rt', 'mais', 'feminista', 'que', 'arthur', 'aguiar']",essa,2
