Tweet,Translate,Emoji,Sentiment,Sentiment2
"RT @SeriesBrasil: 3 curiosidades sobre o ator Arthur Aguiar, confirmado no #BBB22: 

- Traiu Mayra Cardi 16 vezes;
- Participou da versão b…","RT @SeriesBrasil: 3 curiosidades sobre o ator Arthur Aguiar, confirmado no #BBB22: 

- Traiu Mayra Cardi 16 vezes;
- Participou da versão b…",set(),0.5,0.5
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0,0.0
RT @pedrocertezas: Quanto tempo pro Arthur Aguiar dar aquela chorada e falar que não tem culpa das coisas que acusam ele e que foi extremam…,RT @pedrocertezas: Quanto tempo pro Arthur Aguiar dar aquela chorada e falar que não tem culpa das coisas que acusam ele e que foi extremam…,set(),0.0,0.0
RT @carolcorrea_7: gente se vcs sentirem q o arthur aguiar vai trair a mulher vcs não tirem ele não deixa o pau torar,RT @carolcorrea_7: gente se vcs sentirem q o arthur aguiar vai trair a mulher vcs não tirem ele não deixa o pau torar,set(),0.0,0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0,0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0,0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0,0.0
RT @SalvadorJaime07: Queria ir pro BBB só pra quando Arthur Aguiar começar jogar verde pra Jade aparecer um corte meu falando “ele tá quere…,RT @SalvadorJaime07: Queria ir pro BBB só pra quando Arthur Aguiar começar jogar verde pra Jade aparecer um corte meu falando “ele tá quere…,set(),0.0,0.0
"@maumaucirilo @mahhlucindo ja sei pra quem nao torcer, junto com arthur aguiar, pedro scooby, naiara azevedo e se t… https://t.co/ivn1M6p4OS","@maumaucirilo @mahhlucindo ja sei pra quem nao torcer, junto com arthur aguiar, pedro scooby, naiara azevedo e se t… https://t.co/ivn1M6p4OS",set(),0.0,0.0
RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,RT @vanglockkk: prova de resistência do Arthur Aguiar é ficar 3 meses sem trair a mulher em rede nacional,set(),0.0,0.0
